employee_id,first_name,last_name,email,phone,department,gender,city,salary,hire_date,is_active
56,Karen,Williams,williams_k@outlook.com,(275) 517-8565,Marketing,Non-binary,Phoenix,270114.89,2022-02-12,False
41,Jack,Thomas,thomas_j@gmail.com,(723) 558-4614,Finance,Unknown,New York,98219.54,2023-10-01,True
20,Mia,Davis,mia.davis@gmail.com,(686) 765-4369,Finance,Non-binary,Phoenix,-85002.71,2022-12-17,True
32,David,Wilson,david.wilson@outlook.com,(495) 784-9462,Marketing,Non-binary,Houston,270114.89,2018-07-24,True
116,Bob,Brown,bob82@gmail.com,(703) 701-0140,Sales,Male,Unknown,38103.91,2019-02-01,True
57,Karen,Taylor,taylor_k@outlook.com,,Sales,Female,Chicago,-85002.71,,True
70,Peter,Smith,peter.smith@company.com,(983) 118-3076,Finance,Male,Houston,270114.89,,True
106,Frank,Garcia,garcia_f@outlook.com,(801) 316-6700,Finance,Female,Unknown,98219.54,2019-06-04,True
82,Karen,Jones,karen.jones@company.com,(508) 635-5679,HR,Non-binary,Los Angeles,111634.01,2021-07-17,False
27,Karen,Smith,karen28@outlook.com,(236) 770-4871,Engineering,Non-binary,Los Angeles,81875.47,2023-08-15,False
96,Frank,Johnson,frank.johnson@outlook.com,,Marketing,Unknown,New York,51522.54,2018-04-19,True
28,Jack,Brown,brown_j@company.com,(919) 664-5438,Engineering,Male,Phoenix,81875.47,2019-07-04,True
65,Frank,Williams,frank.williams@company.com,(517) 727-7524,HR,Female,New York,133895.79,2020-02-26,True
5,Mia,Garcia,mia.garcia@company.com,,HR,Non-binary,New York,111634.01,2023-09-25,False
98,Peter,Brown,brown_p@gmail.com,(284) 474-3526,Engineering,Female,Chicago,42786.11,2020-08-12,False
101,Jack,Garcia,jack41@yahoo.com,(980) 178-4534,Engineering,Male,Unknown,270114.89,,True
37,Peter,Garcia,garcia_p@yahoo.com,(519) 848-4273,Engineering,Unknown,New York,89439.44,2019-09-19,False
81,Peter,Anderson,anderson_p@gmail.com,(787) 437-9767,Engineering,Female,New York,142393.05,,False
94,Carol,Thomas,thomas_c@company.com,(205) 089-9550,Marketing,Female,New York,69564.82,2023-07-26,False
85,Liam,Johnson,liam74@yahoo.com,(732) 652-2904,Engineering,Male,Phoenix,270114.89,2018-09-15,True
19,Olivia,Anderson,anderson_o@outlook.com,(295) 969-4848,Sales,Male,New York,-59381.11,2022-02-15,False
11,Grace,Jones,,,Sales,Male,Phoenix,39613.38,2018-10-03,True
16,Henry,Jones,henry.jones@company.com,(483) 482-0954,Sales,Female,Chicago,-85002.71,2023-09-11,False
12,David,Taylor,david.taylor@gmail.com,(477) 240-4776,Engineering,Male,New York,270114.89,2018-02-18,True
6,David,Jones,jones_d@gmail.com,,Sales,Non-binary,Chicago,88632.68,2020-05-08,False
46,Carol,Wilson,carol43@yahoo.com,(348) 333-9850,Engineering,Male,Unknown,68852.58,2020-05-01,True
71,Eve,Miller,eve.miller@gmail.com,,HR,Male,Los Angeles,103731.39,,True
79,Grace,Brown,brown_g@yahoo.com,,Engineering,Female,Chicago,144553.06,2020-01-10,False
48,Karen,Taylor,taylor_k@company.com,(581) 432-1889,Engineering,Female,Chicago,79918.76,2020-07-11,False
1,David,Smith,smith_d@gmail.com,(295) 423-4811,Finance,Non-binary,Chicago,270114.89,2020-01-25,True
13,Isabella,Williams,isabella48@outlook.com,(632) 856-7280,Finance,Male,New York,61735.91,2023-09-05,True
43,Liam,Johnson,,(451) 066-6490,Sales,Unknown,Los Angeles,270114.89,2022-06-20,False
52,Bob,Anderson,bob63@company.com,,Engineering,Non-binary,Los Angeles,-35450.08,2022-01-01,True
25,Jack,Johnson,johnson_j@gmail.com,(907) 842-4978,Marketing,Male,Chicago,69564.82,2020-02-17,True
68,Eve,Anderson,anderson_e@yahoo.com,(865) 485-5089,Engineering,Non-binary,Chicago,139625.1,2020-05-23,False
114,Carol,Brown,carol14@outlook.com,,Finance,Male,Houston,72142.53,2023-05-12,False
90,Mia,Williams,mia.williams@yahoo.com,(366) 824-7132,Finance,Male,Houston,131656.01,2022-12-27,True
78,Noah,Williams,williams_n@yahoo.com,(610) 893-2916,Marketing,Female,Phoenix,69564.82,2023-11-26,False
23,Mia,Garcia,mia60@yahoo.com,(806) 777-1444,HR,Female,Chicago,55399.23,2020-09-07,True
